timestamp,transformer,voltage,current,apparent_power,real_power,power_factor,frequency,oil_temp,energy_kwh,condition
2026-04-21T10:01:49.532618+00:00,Pole 1,232.6,65.218,15169.71,14499.4,0.96,59.8,,2008.823,heavy_load
2026-04-21T10:00:10.178314+00:00,Pole 1,232.6,67.149,15618.86,13916.0,0.89,59.8,,2008.467,heavy_load
2026-04-21T09:48:18.905039+00:00,Pole 1,233.0,71.749,16717.52,15690.9,0.94,59.9,,2006.195,overload
2026-04-21T09:48:14.024134+00:00,Pole 1,232.9,71.805,16723.38,15691.9,0.94,59.9,,2006.174,overload
2026-04-21T09:48:05.130889+00:00,Pole 1,233.2,71.833,16751.46,15708.2,0.94,60.0,,2006.135,overload
2026-04-21T09:48:00.063870+00:00,Pole 1,233.1,71.555,16679.47,15660.3,0.94,59.9,,2006.113,overload
2026-04-21T09:47:55.083599+00:00,Pole 1,233.1,71.514,16669.91,15646.7,0.94,60.0,,2006.092,overload
2026-04-21T09:47:50.277717+00:00,Pole 1,233.2,71.562,16688.26,15646.7,0.94,59.9,,2006.07,overload
2026-04-21T09:47:45.032608+00:00,Pole 1,233.1,71.463,16658.03,15629.4,0.94,60.0,,2006.048,overload
2026-04-21T09:47:40.019690+00:00,Pole 1,233.2,71.663,16711.81,15673.2,0.94,60.0,,2006.026,overload
2026-04-21T09:47:35.008219+00:00,Pole 1,233.2,71.45,16662.14,15619.7,0.94,60.0,,2006.004,overload
2026-04-21T09:47:30.082677+00:00,Pole 1,233.1,72.017,16787.16,15731.1,0.94,59.9,,2005.983,overload
2026-04-21T09:46:55.862703+00:00,Pole 1,233.7,66.129,15454.35,14820.6,0.96,59.9,,2005.846,heavy_load
2026-04-21T09:46:20.753183+00:00,Pole 1,234.2,64.065,15004.02,14315.7,0.95,60.0,,2005.706,heavy_load
2026-04-21T09:46:15.854810+00:00,Pole 1,234.1,65.133,15247.64,14570.6,0.96,60.0,,2005.686,heavy_load
2026-04-21T09:46:10.818453+00:00,Pole 1,234.2,64.195,15034.47,14341.0,0.95,59.9,,2005.666,heavy_load
2026-04-21T09:46:05.790199+00:00,Pole 1,234.1,64.379,15071.12,14372.9,0.95,60.0,,2005.646,heavy_load
2026-04-21T09:46:00.834117+00:00,Pole 1,234.3,64.22,15046.75,14364.0,0.95,60.0,,2005.626,heavy_load
2026-04-21T09:45:55.767893+00:00,Pole 1,234.3,64.288,15062.68,14363.7,0.95,60.0,,2005.606,heavy_load
2026-04-21T09:45:50.736832+00:00,Pole 1,234.2,65.542,15349.94,14671.9,0.96,60.0,,2005.585,heavy_load
2026-04-21T09:45:45.709007+00:00,Pole 1,234.1,65.649,15368.43,14689.7,0.96,60.0,,2005.565,heavy_load
2026-04-21T09:45:36.007761+00:00,Pole 1,233.9,70.922,16588.65,16186.6,0.98,60.0,,2005.525,overload
2026-04-21T09:45:31.005874+00:00,Pole 1,234.5,66.866,15680.08,15396.9,0.98,60.0,,2005.504,heavy_load
2026-04-21T09:45:26.086322+00:00,Pole 1,234.6,66.871,15687.94,15407.5,0.98,60.0,,2005.482,heavy_load
2026-04-21T09:45:20.942763+00:00,Pole 1,234.6,66.664,15639.38,15363.1,0.98,60.0,,2005.46,heavy_load
2026-04-21T09:45:15.917180+00:00,Pole 1,234.6,65.56,15380.38,15093.8,0.98,60.0,,2005.439,heavy_load
2026-04-21T09:45:11.029878+00:00,Pole 1,234.5,65.962,15468.09,15175.4,0.98,60.0,,2005.418,heavy_load
2026-04-21T09:45:00.975121+00:00,Pole 1,234.4,65.765,15415.32,15136.7,0.98,60.0,,2005.375,heavy_load
2026-04-21T09:40:35.450183+00:00,Pole 1,234.7,64.804,15209.5,14836.8,0.98,60.1,,2004.375,heavy_load
